date,title,amount
2026-02-22,NuTag*HHE1A13,3.98
2026-02-21,Caixa Reside*Tms 8 de,103.24
2026-02-21,Petlove Saud*Petlove S,1179.09
2026-02-21,Mini Extra-2112,36.67
2026-02-21,Hortifruti Vila das Fr,80.93
2026-02-20,Zul 1 Cartao 1xixgj,6.95
2026-02-20,Petlove Saud*Petlove S,13.12
2026-02-20,Ifd*Ifood Club,12.90
2026-02-19,Delicias do Moinho,12.14
2026-02-18,Oxxo Gustavo,3.99
2026-02-18,Google Youtubepremium,26.90
2026-02-18,Nu Seguro Celular,38.40
2026-02-17,Vila das Frutas,379.69
2026-02-17,Drogasil1997,155.97
2026-02-17,Swift Chacara Ingles,191.10
2026-02-17,Mercado Extra-1708,73.47
2026-02-17,Posto-2621-R Jafet,259.06
2026-02-17,Urbanpet,178.83
2026-02-16,Ricardo Jafet Delivery,55.18
2026-02-16,Supermercado Vila das,144.61
2026-02-16,Mercadolivre*Vetagrog,28.37
2026-02-16,Drogaria Sao Paulo,45.83
2026-02-14,G P de Castro Estacion,30.00
2026-02-13,Mercadolivre*Mercadol,25.55
2026-02-13,Leroy Merlin,47.80
2026-02-13,Mp *Petpatynhas,65.00
2026-02-13,Padrepio,30.00
2026-02-13,Padrepio,22.00
2026-02-12,Ebn *Sonyplaystatn,68.21
2026-02-12,Supermercado Vila das,125.99
2026-02-12,Supermercado Vila das,29.97
2026-02-11,Monte Rei Ricardo Jafe,39.80
2026-02-08,Hortifruti Vila das Fr,140.32
2026-02-08,Outback Plaza Sul,117.97
2026-02-07,G P de Castro Estacion,30.00
2026-02-07,Plano NuCel,45.00
2026-02-07,NuTag*HHE1A13,4.13
2026-02-07,Vieverte,4.30
2026-02-07,NuTag*HHE1A13,22.00
2026-02-06,Ricardo Jafet Delivery,3.34
2026-02-06,Posto-2621-R Jafet,108.06
2026-02-05,Hortifruti Vila das Fr,80.23
2026-02-05,NuTag*HHE1A13,4.13
2026-02-05,NuTag*HHE1A13,4.28
2026-02-04,Supermercado Vila das,131.46
2026-02-02,NuTag*HHE1A13,4.28
2026-02-02,Ricardo Jafet Delivery,74.04
2026-02-02,Carrefour Sps,313.23
2026-02-02,Google One,4.50
2026-02-01,Ifd*Cultura de Minas R,112.99
2026-02-01,Sushi Cursino,303.16
2026-02-01,Zul 1 Cartao 1w9ujb,6.95
2026-01-31,Raia45,69.97
2026-01-31,G P de Castro Estacion,30.00
2026-01-31,Autoposto,100.00
2026-01-31,Mini Extra-2112,25.98
2026-01-30,Pagamento recebido,-5814.33
2026-01-29,Paddle.Net* Nexusmods,48.29
2026-01-29,Supermercado Vila das,202.96
2026-01-29,Ajuste a crédito,-1.69
2026-01-29,Ifd*Cultura de Minas R,52.99
2026-01-29,"IOF de ""Paddle.Net* Nexusmods""",1.69
2026-01-27,Ch Services - Parcela 1/3,193.34
2026-01-27,Mercadolivre*3produto,210.88
2026-01-26,Airbnb * Hmj5xbp5h9 - Parcela 6/6,155.31
2026-01-26,NuTag*HHE1A13,4.28
2026-01-26,Rd Saude - Parcela 4/6,166.50
2026-01-26,Pag*Steam - Parcela 3/3,57.26
2026-01-26,Mlp*Kabum-Novo Market - Parcela 5/10,36.22
2026-01-26,NuTag*HHE1A13,4.28
2026-01-26,Mercadopago *3produto - Parcela 8/10,177.16
2026-01-26,Leroy Merlin - Parcela 4/5,113.50
2026-01-26,KaBuM! - NuPay - Parcela 3/10,163.34
2026-01-26,Mercadolivre*Mercadol - Parcela 4/6,39.83
2026-01-26,Pag*Steam - Parcela 2/3,53.06
2026-01-26,Leroy Merlin - Parcela 6/6,117.47
2026-01-26,Mercado*Amopacotes - Parcela 5/6,57.85
2026-01-26,Petlove Saud*Petlove S - Parcela 6/11,101.25
2026-01-26,Airbnb * Hmdrd5k9se - Parcela 3/6,236.50
2026-01-26,Hortifruti Vila das Fr,73.27
2026-01-26,Rd Saude - Parcela 2/2,140.73
2026-01-26,KaBuM! - NuPay - Parcela 3/10,179.45
2026-01-26,Mini Extra-2112,38.46
